Filename,Total_TXOP,TXOP_retries,Total_MSDU,Total_MPDU,Total_retry,Total_retry_rate,TXOP_retry_rate,Avg_Backoff,Avg_TXOP,MSDU_per_TXOP,AMPDU_per_TXOP,Most_MSDU_per_TXOP,Most_AMPDU_per_TXOP,House_num,House_type,Location,Distance,Protocol,Traffic,Device,Datarate_avg(Mbps),#DR_R0,#DR_R1,DR_std,Total_data(bytes),R0_Max_MCS,R1_Max_MCS,#frames,sgi,lgi,Throughput_sniffer(Mbps),RSSI_avg(dBm),RSSI_min(dBm),RSSI_max(dBm),RSSI_std,#walls,Captured_datagram,Missed_datagram,#retry0,#retry1,#u_retry1,Transfer(Mbytes),Bitrate(Mbits/sec),Jitter,Total_datagrams,Lost_datagrams,Throughput(iperf),Retry_perc(iperf),Missed_perc(iperf),Ref_RSSI_avg(dBm),Ref_RSSI_min(dBm),Ref_RSSI_std,Ref_RSSI_max(dBm),Ref_#RSSI,#beacons_others,#Int_Devices,Mgnt_overheads,Ctrl Overheads,data0,data1,Unrelated,Other_BSS,Idle,Total_time,Missing_MSDU
mac_5ghz_clean_esb301b_l2_udp_ul_redmi_100M,1458,164,56382,4359,970,1.7204072221631,11.2482853223594,82.8148148148148,12925.1598079561,38.6707818930041,2.98971193415638,49,4,esb301b,Empty,l2,1627.19206,udp,ul,redmi,71.8704080535303,4,4,2.64060023657409,255771511,7,5,86831,83770,3061,68.2057362666667,-59.2,-59,-60,0.406838102172486,0,170918,600,167436,3482,3405,223,62.5,0.371ms,167328,0,59.4666666666667,2.03852233475792,0.35729598399314,-63,-63,0,-63,1,0,0,173158,664019,18438631,458782,1624,4972,258855,20000041,218
mac_5ghz_clean_h10b_l1_udp_ul_redmi_100M,1420,44,67884,4326,150,0.22096517588828,3.09859154929577,59.8591549295775,13139.7683098592,47.8056338028169,3.04647887323944,59,4,h10b,Empty,l1,497.314789645351,udp,ul,redmi,86.6548926459698,3,2,0.504598596007014,310524818,8,8,105811,105652,159,82.8066181333333,-51,-51,-51,0,1,207489,840,207009,480,480,276,77.3,0.204ms,207074,0,73.6,0.231265116547983,0.40401319776446,-52,-52,0,-52,1,0,0,179304,659861,18862489,46184,1356,0,250969,20000163,4355
mac_5ghz_clean_h10b_l2_udp_ul_redmi_100M,1350,271,30554,4322,861,2.81796164168358,20.0740740740741,127.271851851852,12801.2740740741,22.6325925925926,3.20148148148148,29,4,h10b,Empty,l2,490.805460442322,udp,ul,redmi,43.2149084475155,4,5,1.4305422988297,133500559,4,4,45434,44291,1143,35.6001490666667,-67.2,-67,-68,0.406838102172486,2,89174,332,86056,3118,2869,115,32,0.538ms,85839,0,30.6666666666667,3.50506424452263,0.385280430771373,-69.2573358369795,-68,0.455574693390036,-70,3,0,0,180948,626577,16269314,675206,12450,360,2235393,20000248,120
mac_5ghz_clean_h10b_l3_udp_ul_redmi_100M,1489,328,45221,3948,1256,2.77747064416974,22.0282068502351,96.7044996642042,12743.8186702485,30.3700470114171,2.65144392209537,39,3,h10b,Empty,l3,407.443247581795,udp,ul,redmi,57.6880691832115,3,4,1.31926414727359,205948109,5,5,69494,67698,1796,54.9194957333333,-64,-64,-64,0,2,137638,669,133841,3797,3510,178,49.9,0.275ms,133886,257,47.4666666666667,2.76294151034011,0.498145914309967,-64.0061138851006,-64,0.0824770642555624,-65,2,0,0,181164,626845,18199706,671205,1360,0,319805,20000085,225
mac_5ghz_clean_h10b_l4_udp_ul_redmi_100M,1506,900,19425,4728,1989,10.2393822393822,59.7609561752988,228.381806108898,11976.3023255814,12.898406374502,3.1394422310757,16,4,h10b,Empty,l4,497.824266182355,udp,ul,redmi,27.0775802232421,3,5,2.08036065740089,91392915,3,3,31285,13331,17954,24.371444,-71,-71,-71,0,3,61054,740,55345,5709,5175,74.1,20.7,0.977ms,55530,0,19.76,9.32249056973497,1.31508796872223,-74.0098538274122,-74,0.104464781922459,-75,2,1,1,177444,699894,15778442,2090144,3740,0,1251066,20000730,218
mac_5ghz_clean_h10b_l5_udp_ul_redmi_100M,1897,1508,6250,5008,2023,32.368,79.4939377965208,1197.53874538745,8640.19768054823,3.2946758039009,2.63995782814971,2,2,h10b,Empty,l5,295.656895742345,udp,ul,redmi,12.7334676463617,3,3,1.3045616403887,27923359,1,0,10265,0,10265,7.44622906666667,-81.2,-79,-91,4.47521912389735,3,18627,22,12405,6222,4785,15.8,4.43,2.722ms,11868,4,4.21333333333333,34.402300121641,0.185091704526334,-82.6779392594821,-81,0.614869411515775,-84,4,0,0,180420,341859,7465506,6129119,1700,0,5881850,20000454,346
mac_5ghz_clean_h11b_l1_udp_ul_redmi_100M,1442,510,67561,4633,2277,3.37028759195394,35.3675450762829,73.4285714285714,13118.7316227462,46.8522884882108,3.2128987517337,58,4,h11b,Empty,l1,155.621335298217,udp,ul,redmi,86.3736085751613,2,2,2.50289548990558,308625465,8,8,104389,101316,3073,82.300124,-53.2,-53,-54,0.406838102172486,1,206252,659,199002,7250,7040,264,73.9,0.222ms,198011,0,70.4,3.53208841426282,0.33170584386168,-60.1592912045289,-60,0.380315059198961,-61,2,16,1,177072,671949,18131983,761730,2312,532,254626,20000204,210
mac_5ghz_clean_h11b_l2_udp_ul_redmi_100M,1959,1572,6503,5032,2220,34.1380901122559,80.2450229709035,1087.85502807555,8521.55385400715,3.31955079122001,2.56865747830526,1,1,h11b,Empty,l2,296.096268129134,udp,ul,redmi,12.9776376146789,3,3,0.405307093129444,29112949,1,0,10662,0,10662,7.76345306666667,-81,-81,-81,0,3,19424,27,12269,7155,4483,15.7,4.39,4.165ms,11762,0,4.18666666666667,37.8231220595232,0.229027059122911,-87.3337457986377,-85,0.902316950985396,-90,6,293,1,69192,334666,7297221,6389823,218,44,5911556,20002720,1044
mac_5ghz_clean_h11b_l3_udp_ul_redmi_100M,1466,38,57673,4120,375,0.650217606158861,2.59208731241473,76.0463847203274,12949.9577080491,39.3403819918145,2.81036834924966,49,3,h11b,Empty,l3,55.0272659687904,udp,ul,redmi,72.1078688017923,3,5,1.15972038243097,258841409,7,7,88854,85068,3786,69.0243757333333,-58.3,-58,-59,0.466091599699399,2,172896,748,171632,1264,1073,229,64.1,0.205ms,171669,0,61.0666666666667,0.730918910792041,0.433831930726088,-63,-63,0,-63,1,0,0,180792,634548,18775637,141033,2388,0,265658,20000056,251
mac_5ghz_clean_h8b_l3_udp_ul_redmi_100M,1424,10,68262,4322,10,0.0146494389264891,0.702247191011236,62.8019662921348,13123.3026685393,47.936797752809,3.03511235955056,59,4,h8b,Empty,l3,345.175317773447,udp,ul,redmi,86.6636433572221,3,2,0.246820583739618,311069483,8,7,106368,106334,34,82.9518621333333,-49.6666666666667,-49,-50,0.479463301485384,1,207824,872,207783,41,41,278,77.6,0.221ms,207883,0,74.1333333333333,0.0197187433870067,0.417714545759383,-44,-44,0,-44,1,0,0,180420,664172,18883540,7665,1368,0,262961,20000126,273
